key,accuracy,f1,recall,roc_auc
Random Forest,0.9734582357533177,0.6730769230769231,0.5882352941176471,0.7902289855770389
Decision Tree,0.970335675253708,0.6779661016949152,0.6722689075630253,0.8285617972117214
Gradient Boosting,0.9679937548790007,0.5858585858585859,0.48739495798319327,0.7393994847222558
AdaBoost,0.9625292740046838,0.5675675675675675,0.5294117647058824,0.7565192266018155
Support Vector Classifier,0.953551912568306,0.0,0.0,0.5
KNN classifier,0.949648711943794,0.0979020979020979,0.058823529411764705,0.525932436011654
